expressions,synonyms,ex
low-key,"modest, secret",they are keeping their relationship low-key
drive sb up the wall,drive sb crazy,that constant drilling noise is really drives me up the wall.
black and white,unambiguous,things in life are never black and white.
sloppy,careless,the bridge collapsed soon after completion because of the sloppy construction work.
over the top,too much,I think painting every wall in the house bright yellow is a bit over the top.
ancient ,very old,the car only starts sometimes because it is so ancient.
slack off,work less hard than usual,everyone slacks off on fridays.
better off,be in a more favorable situation or position,you are better off starting from the beginning than trying to find out where you went wrong.
take sth out of context,misrepresent the meaning of sth omitting the circumstances of it,it is best to avoid joking comments as they might be taken out of context.
freebie,sth provided free of charge,this donut was a freebie from the supermarket down the street.
clear-cut,well defined,patrick's instructions were very clear-cut.
cut sb off,interrupt and stop sb from talking ,sorry to cut you off but I have a question about that last point you made.
gray area,morally ambiguous area,there is substantial amount of gray area between what is legal and what is not.
fiddly,detailed and awkward to use,it always require a six digit SMS code just to log in. very fiddly.
crystal-clear,unambiguous,my boss was crystal clear about what we should do next.
downtime,period of leisure or relaxation,in my downtime I enjoy taking my daughter to parks.
hold sth/sb up,delay or stop sth/sb,the train was hold up because of the railroad accident.
legit,proper,does the website looks legit to you?
catch up,meet up to update other,I missed you so much! Lets catch up over coffee.
hyped,very excited,I am feeling very hyped about this new restaurant.
get into sth,become interested in sth,I wanna ask you how you got into whisky. Did you have a light bulb moment?
cut corners,take shortcuts,"if you wanna be more efficient, it is important to find where you can cut corners."
get the ball rolling,begin ,my bestie and I have decided to work together on a creative project. We will share more details once we get the ball rolling.
spot,see sth/sb,can you spot that bird in the sky?
on the dot,exactly,let's meet up at 6 on the dot.
bring sth up ,raise sth,the comment you made is really spot-on. I'm glad you brought that up.
one off,non-reccuring ,the expense incurred this year to construct the building is a one off cost.
bug sb,annoy sb,I am sorry to bug you but I really need your help.
rusty,not as good as sb/sth,as I havent played tennis for a while I am pretty rusty.
bright and early,very early in the day,"as I wanted to get a few things done before work, I had breakfast bright and early today."
give sb a buzz,give sb a call,I will give you a buzz when I get there tomorrow.
in-your-face,aggressive; bold,I hate in your face anti-smoking campaign. My firend's fashion sense is very in your face.
come clean,be completely honest,I will come clean and admit that I havent done my homework.
downer,sth/sb that makes you unhappy,stop being such a downer. Not everything in this report is bad.
get one's head around sth,understand sth,I am going to need a few minutes to get my head around the diagram you just showed me.
cut to the chase,get into the point,since we've only got five minutes I am going to cut to the chase.
flag sth,"draw attention to sth, let sb know",there is a mistake in this report. Let' s flag it in the meeting.
old school,old fashioned,this song is so old-school.
get one's hopes up,get excited about the prospect of sth positive; expect sth positive,don't get your hopes up because you might not actually get promoted.
get back to sb,talk to sb again,I will get back to you once I figure that out.
freak (sb) out,panic (sb),don't freak me out
put sth together,assemble sth,I am putting together a photo album of all my niece's baby photos.
sounds like a plan,sounds like a good idea,sleeping all day sounds like a plan.
attention to detail,ability to be thorough and accurate,he needs to work on his attention to detail.
sick of,bored of,I am sick of your negative attitude.
white noise,background information or unnecessary information,"the report had a lot of white noise in it, making it difficult to work out the main points."
slammed,extremly busy,I havent seen Emma for a while as she's been slammed at work.
wing it ,improvise,"I don't know where we are going for dinner tonight, but lets just start driving and wing it."
tell me about it,totally agree,"she said carrots are the worst, so I said tell me about it."
turn sth/sb down,reject,I turned down the job offer.
keep one's cool,stay calm,I need to keep my cool to work through this problem methodically.
bite the bullet,face up to it; give sth a try,Emma finally bit the bullet and got a haircut.
clear sth up,clarify sth,unfortunately there is nothing we can do to clear up the situation.
shattered,extremly disappointed,I am shattered that im going to miss out on the function on Friday.
give credit,give praise,we should give a credit to josh for identifying the error.
lock sth down,finalize sth,can you please lock down the booking for dinner tonight?
loaded,rich,he is loaded from renting his house on airbnb.
double check,verify sth,can you double check that you locked the house?
go in circles,not progressing,this discussion is going circles.
roughly,approximately,what you just told me is roughly correct.
stretch,exaggeration,it's a stretch to say John is a nice person.
on the right track,progressing well,are you on the right track with the task?
get one's hands on sth,obtain sth,only five people managed to get their hands on the new product.
gold standard,pinnacle,ferraris are the gold standard for many car collectors.
kick sth off,commence sth,lets kick off the presentation tomorrow with a speech from the ceo.
on one's last legs,near the end of life or usefulness,your business is on its last legs
pluck sth out of thin air,make sth up,I cannot trust anything Will says as he just plucks things out of thin air.
make a move,leave,"it's getting pretty late, so I might make a move."
selling point,strength,my selling point as an employee is my experience as a strategy consultant.
all in on sth,fully committed to sth,I am all in on this new project.
light at the end of the tunnel,an end of a difficult situation or task,"no matter what you are going through, there is always light at the end of the tunnel. So just keep working towards it."
could hear a pin drop,could hear even a smallest noise because of the quiet,the library was so quiet you could hear a pin drop.
wordy,overly long,the load of the rings can be pretty wordy sometimes.
surefire,certain,I have a surefire way to make a small room look larger.
up in the air,uncertain; undecided,George's arrival time is up in the air at the moment.
worth a shot,worth a try,"I don't know if it will succeed, but it is worth a shot."
character,"interesting, unusual, or amusing person","John is a bit of a character, isnt he?"
sharp,clever,"I like the consultant, as he really sharp."
fly on the wall,observer of a private conversation or interaction,I would have loved to be a fly on the wall for the argument between Anthony and Carly.
gibberish,nonsense,my niece speaks gibberish as she is three years old.
egg sb on,encorage sb (to do sth inappropriate),stop egging me on to do a stupid thing when I'm drunk because you know I am going to do it.
face time,time to talk in person,I am so excited to get some face time with my fans in Tokyo!
pull an all nighter,stay up all night,ive already had three cups of coffee this morning as I pulled an all-nighter.
leave it there,finish speaking now,I have been talking for two hours so I'll just leave it here.
jump the gun,do sth too soon,did you already talk about marriage? You guys just met! You are clearly jumping the gun.
back sth up,support sth with evidence or facts,can you back up your claim that she doent like me?
get a kick out of sth,get excitement or joy from sth,I cannot believe I am saying this but I get a real kick out of studying.
hands down,definitely,that meal was hands down the best meal I've ever had in my life.
dumb sth down,simplify sth,what do you mean?can you dumb your explanation down for me?
on the fly,without planning in advance; off the cuff,Max is going to give his wedding speech on the fly.
fishy,suspicious,I feel that there is something fishy going on!
give or take,approximately,"it will cost $500 give or take.
I will arrive at 9pm, give or take 5 minutes."
educated guess,informed estimete,take an educated guess as to how many people are comig to the party.
hit a wall,stagnate,"when your motivation to study hits a wall, remenber your end goal."
on sb's radar (on the radar),in sb's plans,having a child is not on my radar yet.
broken record,repetitive person,Jim thinks his dad is a broken record as he nags him about the same things every day.
stoked,"very happy, excited",I am really stoked for the trip next month.
get one's story straight,ensure one's narrative makes sense,let's get our story straight prior to speaking to the police.
reinvent the wheel,waste time on sth that's already been done,"let's use the materials that we already have, rather than reinvent the wheel."
hear through the grapevine,hear rumors,I heard through the grapevine that Ben has decided to change department.
